No,model_number_sku,housing_style,wall_mount,ceiling_mount_single_unit,pole_mount,corner_mount,in-ceiling_mount,parapet_mount,junction_box,dual_junction_box,Adapter and others
145,AVC-TD51F28,Indoor Dome,,,,,,,,,
146,AVC-TD81F28,Indoor Dome,,,,,,,,,
147,AVC-TD52M,Indoor Dome,AVM-CWM-EDV-L1,,,,,,,,
148,AVC-TD82M,Indoor Dome,AVM-CWM-EDV-L1,,,,,,,,
149,AVC-TV21F28,Vandal Dome,"AVM-CWM-EV-S2, AVM-HWM-V-S1",AVM-HCM-V-S1,AVM-P-POM-A2,AVM-CRM-A1,AVM-RM-V-S1,,AVM-JB-V-S1,,
150,AVC-TV22V,Vandal Dome,"AVM-CWM-EDV-L1, AVM-HWM-V-L1",AVM-HCM-V-L1,AVM-P-POM-A2,AVM-CRM-A1,AVM-RM-V-L1,,AVM-JB-V-L1,,AVM-WS-V-L1
151,AVC-TV22M,Vandal Dome,"AVM-CWM-EDV-L1, AVM-HWM-V-L1",AVM-HCM-V-L1,AVM-P-POM-A2,AVM-CRM-A1,AVM-RM-V-L1,,AVM-JB-V-L1,,AVM-WS-V-L1
152,AVC-TV51F28,Vandal Dome,"AVM-CWM-EV-S2, AVM-HWM-V-S1",AVM-HCM-V-S1,AVM-P-POM-A2,AVM-CRM-A1,AVM-RM-V-S1,,AVM-JB-V-S1,,
153,AVC-TV81F28,Vandal Dome,"AVM-CWM-EV-S2, AVM-HWM-V-S1",AVM-HCM-V-S1,AVM-P-POM-A2,AVM-CRM-A1,AVM-RM-V-S1,,AVM-JB-V-S1,,
154,AVC-TV52M,Vandal Dome,"AVM-CWM-EDV-L1, AVM-HWM-V-L1",AVM-HCM-V-L1,AVM-P-POM-A2,AVM-CRM-A1,AVM-RM-V-L1,,AVM-JB-V-L1,,AVM-WS-V-L1
155,AVC-TV82M,Vandal Dome,"AVM-CWM-EDV-L1, AVM-HWM-V-L1",AVM-HCM-V-L1,AVM-P-POM-A2,AVM-CRM-A1,AVM-RM-V-L1,,AVM-JB-V-L1,,AVM-WS-V-L1
156,AVC-TCE21F28,Turret,"AVM-CWM-EV-S2, AVM-HWM-E-S2",AVM-HCM-E-S2,AVM-P-POM-A2,AVM-CRM-A1,,,"AVM-JB-BE-AD2, AVM-JB-BE-S2",,
157,AVC-TCE51F28,Turret,"AVM-CWM-EV-S2, AVM-HWM-E-S2",AVM-HCM-E-S2,AVM-P-POM-A2,AVM-CRM-A1,,,"AVM-JB-BE-AD2, AVM-JB-BE-S2",,
158,AVC-TCE81F28,Turret,"AVM-CWM-EV-S2, AVM-HWM-E-S2",AVM-HCM-E-S2,AVM-P-POM-A2,AVM-CRM-A1,,,"AVM-JB-BE-AD2, AVM-JB-BE-S2",,
159,AVC-TMT51F28,Turret,,,,,,,AVM-JB-EVO-T1,,
160,AVC-TCB21F28,Bullet,,AVM-HCM-E-S1,AVM-P-POM-A2,AVM-CRM-A1,,,AVM-JB-BE-S2,,
161,AVC-TCB51F28,Bullet,,AVM-HCM-E-S1,AVM-P-POM-A2,AVM-CRM-A1,,,AVM-JB-BE-S2,,
162,AVC-TCB81F28,Bullet,,AVM-HCM-E-S1,AVM-P-POM-A2,AVM-CRM-A1,,,AVM-JB-BE-S2,,
163,AVC-NPB81F180,Turret,"AVM-CWM-EV-S2, AVM-HWM-E-S2",AVM-HCM-E-S2,,,,,AVM-JB-BE-S2,,
